nota_do_exame,horas_de_estudo_por_dia,horas_de_sono,horas_redes_sociais,qualidade_da_dieta,qualidade_da_internet,genero,trabalho_meio_periodo,percentual_de_presença,saude_mental
45.65392985054212,1.3363807268914831,8.973749724821003,2.4117089209389557,Ruim,Ruim,Masculino,Sim,88.28509645651177,Media
15.262749473222147,2.7078490183866295,8.93940440996261,0.13975804751059018,Ruim,Ruim,Feminino,Sim,62.20981499364305,Baixa
56.83965852774138,4.990613166715466,4.933239741080914,5.6438582676970555,Boa,Ruim,Masculino,Nao,73.27319602790348,Alta
96.36890705793962,7.342642849680654,8.446970518578855,1.2514362842856528,Boa,Ruim,Feminino,Sim,79.89768749237697,Media
23.302956165271695,0.10342838005959187,9.61079552004599,4.000599630980054,Boa,Boa,Outro,Sim,80.04481076378514,Baixa
70.61291859324477,0.7167914473027475,6.217621785688532,1.0120959978973945,Regular,Ruim,Feminino,Nao,92.024055611835,Baixa
97.28632013393651,4.2441962955243735,8.094940204071817,3.3406028083768495,Regular,Regular,Outro,Nao,88.50234569606329,Baixa
98.7480811506133,0.8214320378441347,4.880404960333076,2.6783761163667084,Boa,Excelente,Outro,Sim,75.15673714042104,Media
85.76124978627928,4.896886690155709,7.69171167907375,2.4778772836869605,Regular,Ruim,Feminino,Nao,80.27032935896499,Media
44.336825424381765,7.427586182161392,5.287842699071692,5.665362530596158,Boa,Ruim,Outro,Sim,67.26304761875133,Baixa
39.953539243791404,0.48348573932848815,9.570442379651002,4.847409846114241,Regular,Ruim,Outro,Sim,85.83657120524438,Alta
52.607603175262774,3.576036633033395,9.545548327335037,3.559355043658521,Boa,Boa,Outro,Sim,82.770001403114,Baixa
79.50269633546966,5.0069966776191155,4.100080720349762,1.8725019240581158,Regular,Regular,Masculino,Nao,74.61796825512606,Alta
32.128028960870324,2.0507660191791377,9.920156769771104,0.5188939668995016,Ruim,Ruim,Outro,Nao,84.03790579672709,Baixa
85.76041589090325,4.786895360143371,8.2138982634029,2.463483052243232,Regular,Ruim,Feminino,Nao,93.01840597267282,Alta
82.36157797559368,2.2824608229604637,6.300426909675223,0.6002944099689012,Ruim,Boa,Masculino,Sim,77.25054055129671,Baixa
39.564774760418075,5.356643882058612,8.075159015541553,3.3024380666774986,Ruim,Regular,Masculino,Nao,87.53014899315649,Baixa
8.312740032546584,5.746242503583996,8.568893085641355,4.689645597804594,Regular,Ruim,Feminino,Nao,69.51336522160865,Alta
4.085278912861434,6.613861120889644,6.168938240707785,2.812340236855724,Ruim,Regular,Masculino,Sim,99.806509113014,Alta
24.765464803073712,4.038393938142269,9.611458529853511,1.6832763916752527,Regular,Excelente,Masculino,Nao,99.81857066808055,Baixa
50.380768575537125,1.5227763104828709,4.762133195130329,0.4744683832236387,Ruim,Ruim,Masculino,Sim,90.12180947924996,Media
90.5753430535386,2.1636611951662976,7.791197194335361,3.097886999212502,Regular,Boa,Feminino,Sim,66.78468360084977,Baixa
72.13429103240648,3.3028322824716128,7.19190774139295,1.2784176090131014,Ruim,Boa,Outro,Nao,64.54553835430613,Alta
12.065958887304662,3.5127536705119535,4.610974096945496,5.341553421567054,Regular,Regular,Feminino,Sim,69.81174824585104,Alta
99.82718092271998,5.137897360736176,5.291505968883017,3.060975977859796,Ruim,Regular,Feminino,Nao,74.67159093428974,Alta
9.876673873063579,1.4678667517672146,8.8294974150676,4.465456595375056,Ruim,Ruim,Masculino,Sim,94.7715876014706,Alta
70.41799315635254,6.136657068865537,4.782701433284849,5.1500471122361455,Regular,Regular,Masculino,Sim,74.0690863527432,Media
74.93627626675156,7.611086334819127,4.821686449478671,1.892818258504244,Boa,Ruim,Masculino,Nao,95.37437996725087,Alta
18.894571892142398,3.6727041204325994,8.87140142914399,0.06431584284223502,Boa,Excelente,Feminino,Sim,60.75729403957868,Baixa
7.146335062274112,0.7703315186685753,6.759108544760177,5.53216245781347,Boa,Boa,Masculino,Sim,69.94432458130397,Baixa
51.41665621166233,7.086467281509471,4.275154993495488,4.911091321788656,Ruim,Excelente,Masculino,Nao,74.35388564076021,Baixa
59.87856643649982,1.9914654946848858,6.760643411634877,0.5175804567864541,Ruim,Ruim,Feminino,Sim,78.49872494913811,Media
92.3533409719073,2.5998169152440083,9.885279235605047,3.57353171093383,Ruim,Excelente,Masculino,Sim,72.24359969206436,Alta
53.9938718225981,7.409828118246976,9.139854937762834,3.1936807347916827,Regular,Boa,Outro,Nao,92.44996882085354,Baixa
91.16936590720293,0.32087873245208787,7.863807881657871,0.48457241476091495,Ruim,Ruim,Feminino,Nao,63.456433054174894,Alta
33.96074653102734,0.0637100237864745,8.196681878981991,2.1161364227179176,Ruim,Regular,Outro,Sim,64.30551438931552,Alta
51.85559465572245,5.164468252278674,7.405371810186315,2.1094870132123793,Regular,Ruim,Outro,Nao,80.93442049859833,Media
23.986492857430786,2.5678347714283163,7.972164119954268,1.2062725789752715,Regular,Boa,Masculino,Nao,81.88484228069197,Baixa
81.9086076217279,6.581073411472467,8.260087098193132,5.428654584396481,Ruim,Ruim,Outro,Sim,83.37127104886805,Baixa
44.035814174373854,2.925874115599991,5.194006223681761,4.194453639559267,Ruim,Boa,Feminino,Sim,60.230957339199335,Alta
4.001333537680496,3.0639910648087447,7.6976344072779055,4.960478354920086,Boa,Regular,Masculino,Sim,83.49609167178365,Alta
64.22058369992729,7.337454025399088,6.199505429872484,0.21109778948330238,Boa,Ruim,Feminino,Sim,84.39652564860248,Baixa
4.59083503277371,1.1177783497339622,9.53583618895307,4.2750716020130906,Ruim,Regular,Masculino,Nao,90.23292826474021,Media
1.7503469061576182,7.104977998690516,8.446827953987075,0.6361027991979307,Ruim,Ruim,Masculino,Nao,88.73151657647739,Media
69.00779051084601,0.006703807021680497,7.828696419683454,5.707420059128451,Regular,Boa,Outro,Sim,87.1322295205914,Baixa
29.97546174098681,5.810869831184135,5.667599052053832,1.4417838528999207,Ruim,Excelente,Feminino,Sim,61.57626826930488,Alta
84.57440331070373,6.009676822583231,4.4605509990730186,5.61847784675834,Boa,Boa,Outro,Nao,61.511226528691445,Alta
